source,target,source_prin_graph_dim_1,source_prin_graph_dim_2,target_prin_graph_dim_1,target_prin_graph_dim_2
Y_27,Y_123,-10.2723803352091,-0.451106468507797,-10.4497023824685,-0.531558206618533
Y_28,Y_35,3.30307142360709,1.75383096768244,3.47889735227568,1.70390015397105
Y_28,Y_40,3.30307142360709,1.75383096768244,3.12437792462565,1.79784734331099
Y_29,Y_79,8.23054978768898,-1.5130506038417,8.13715152023011,-1.39032817251079
Y_29,Y_109,8.23054978768898,-1.5130506038417,8.32213132270345,-1.63636324724162
Y_30,Y_65,-4.54888511954024,1.1587140293021,-4.34519851689972,1.19930798298244
Y_30,Y_131,-4.54888511954024,1.1587140293021,-4.75275309367393,1.11714130267543
Y_32,Y_86,-8.96961343236298,0.0383608965271993,-8.7774831720002,0.101436022655543
Y_32,Y_119,-8.96961343236298,0.0383608965271993,-9.16078178362737,-0.0254848569795148
Y_35,Y_48,3.47889735227568,1.70390015397105,3.6522211995366,1.64922315503612
Y_36,Y_82,7.84466008892768,-1.02642480124492,7.94392418320411,-1.14750299756139
Y_36,Y_108,7.84466008892768,-1.02642480124492,7.74347902246996,-0.905680251698228
Y_37,Y_57,4.15149326507888,1.45067106770695,4.30901215984033,1.37130160405853
Y_38,Y_102,-0.924860210222558,1.79367656957834,-0.726248154519284,1.82056059809421
Y_38,Y_118,-0.924860210222558,1.79367656957834,-1.12375373935385,1.76578765320524
Y_39,Y_99,0.655144411616142,1.9643827426342,0.850838411224076,1.97416042256941
Y_41,Y_70,7.64016639676016,-0.78604431628608,7.53360531699128,-0.668254059871428
Y_41,Y_108,7.64016639676016,-0.78604431628608,7.74347902246996,-0.905680251698228
Y_42,Y_109,8.41212063163138,-1.76003952936944,8.32213132270345,-1.63636324724162
Y_42,Y_117,8.41212063163138,-1.76003952936944,8.49983714621292,-1.88456860648318
Y_43,Y_55,-10.0922614435083,-0.373862462145987,-9.91024513456394,-0.298786872289924
Y_45,Y_53,4.92515289829369,1.04686922183075,4.76270058678239,1.10889082739642
Y_45,Y_127,4.92515289829369,1.04686922183075,5.08678974143108,0.983718814276465
Y_46,Y_47,0.262271281635757,1.93492645960908,0.0652627297042111,1.91635380596601
Y_50,Y_66,7.19517707740677,-0.32801275346975,7.07695087704891,-0.21844526282327
Y_50,Y_80,7.19517707740677,-0.32801275346975,7.31064832861587,-0.439645905888444
Y_51,Y_66,6.95119143273906,-0.11640971894552,7.07695087704891,-0.21844526282327
Y_51,Y_88,6.95119143273906,-0.11640971894552,6.82268281312419,-0.0168100101361699
Y_52,Y_72,5.56404295333605,0.783562539633956,5.40784140182962,0.854356919943799
Y_52,Y_128,5.56404295333605,0.783562539633956,5.71755141389315,0.70991204703722
Y_53,Y_54,4.76270058678239,1.10889082739642,4.61385820699621,1.19921225159445
Y_54,Y_62,4.61385820699621,1.19921225159445,4.46288510351412,1.28705184675019
Y_55,Y_98,-9.91024513456394,-0.298786872289924,-9.72599011325726,-0.226441119091222
Y_56,Y_100,-11.2930772401197,-0.977440909739674,-11.130971318222,-0.881540612714786
Y_56,Y_116,-11.2930772401197,-0.977440909739674,-11.452484359405,-1.07609121042838
Y_57,Y_62,4.30901215984033,1.37130160405853,4.46288510351412,1.28705184675019
Y_58,Y_100,-10.9654842677762,-0.788849904137484,-11.130971318222,-0.881540612714786
Y_58,Y_121,-10.9654842677762,-0.788849904137484,-10.796416091821,-0.700219550883898
Y_59,Y_98,-9.53878897942545,-0.157939705177976,-9.72599011325726,-0.226441119091222
Y_59,Y_101,-9.53878897942545,-0.157939705177976,-9.35063175693599,-0.0906126975146049
Y_60,Y_79,8.04149391562589,-1.26853767337391,8.13715152023011,-1.39032817251079
Y_60,Y_82,8.04149391562589,-1.26853767337391,7.94392418320411,-1.14750299756139
Y_61,Y_71,-7.40811677915453,0.529005882709619,-7.20848048841447,0.586752883741926
Y_61,Y_77,-7.40811677915453,0.529005882709619,-7.60697047270061,0.47123099719343
Y_63,Y_77,-7.80488329666488,0.412746427696879,-7.60697047270061,0.47123099719343
Y_63,Y_111,-7.80488329666488,0.412746427696879,-8.00133553779126,0.352097742942546
Y_64,Y_114,1.24071663595288,1.98523410166567,1.04593174715481,1.98067489759182
Y_64,Y_120,1.24071663595288,1.98523410166567,1.43498884189107,1.98751996179109
Y_65,Y_68,-4.34519851689972,1.19930798298244,-4.14174227638078,1.23853238350947
Y_67,Y_92,6.1510578296053,0.456150239912976,6.01076098232107,0.545579141679614
Y_67,Y_113,6.1510578296053,0.456150239912976,6.28926563285411,0.364665803389008
Y_68,Y_76,-4.14174227638078,1.23853238350947,-3.93868093085099,1.27792919847284
